Image,BoundingBoxes,Labels
maksssksksss116.png,"[{""height"":34,""label"":""Face"",""left"":116,""top"":88,""width"":34},{""height"":39,""label"":""Face"",""left"":160,""top"":79,""width"":33},{""height"":44,""label"":""Face"",""left"":235,""top"":43,""width"":37},{""height"":34,""label"":""Face"",""left"":304,""top"":68,""width"":32},{""height"":35,""label"":""Face"",""left"":379,""top"":61,""width"":20}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss117.png,"[{""height"":122,""label"":""Face"",""left"":131,""top"":224,""width"":96}]","[""Wearing Mask Correctly""]"
maksssksksss118.png,"[{""height"":37,""label"":""Face"",""left"":138,""top"":79,""width"":38},{""height"":37,""label"":""Face"",""left"":217,""top"":70,""width"":38}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss119.png,"[{""height"":28,""label"":""Face"",""left"":54,""top"":92,""width"":28},{""height"":24,""label"":""Face"",""left"":132,""top"":47,""width"":21},{""height"":31,""label"":""Face"",""left"":242,""top"":94,""width"":26},{""height"":13,""label"":""Face"",""left"":254,""top"":51,""width"":12},{""height"":13,""label"":""Face"",""left"":263,""top"":79,""width"":12},{""height"":26,""label"":""Face"",""left"":302,""top"":81,""width"":28},{""height"":22,""label"":""Face"",""left"":352,""top"":45,""width"":25}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss12.png,"[{""height"":17,""label"":""Face"",""left"":72,""top"":71,""width"":18},{""height"":18,""label"":""Face"",""left"":119,""top"":70,""width"":18},{""height"":20,""label"":""Face"",""left"":163,""top"":76,""width"":22},{""height"":12,""label"":""Face"",""left"":36,""top"":70,""width"":10},{""height"":13,""label"":""Face"",""left"":120,""top"":55,""width"":12},{""height"":10,""label"":""Face"",""left"":94,""top"":59,""width"":8},{""height"":20,""label"":""Face"",""left"":153,""top"":61,""width"":18},{""height"":17,""label"":""Face"",""left"":335,""top"":70,""width"":18},{""height"":17,""label"":""Face"",""left"":273,""top"":58,""width"":17},{""height"":17,""label"":""Face"",""left"":232,""top"":61,""width"":17},{""height"":23,""label"":""Face"",""left"":298,""top"":61,""width"":14},{""height"":14,""label"":""Face"",""left"":354,""top"":54,""width"":11},{""height"":16,""label"":""Face"",""left"":38,""top"":82,""width"":7}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss120.png,"[{""height"":151,""label"":""Face"",""left"":59,""top"":185,""width"":124}]","[""Wearing Mask Correctly""]"
maksssksksss121.png,"[{""height"":27,""label"":""Face"",""left"":11,""top"":48,""width"":30},{""height"":31,""label"":""Face"",""left"":91,""top"":41,""width"":30},{""height"":27,""label"":""Face"",""left"":176,""top"":56,""width"":28},{""height"":25,""label"":""Face"",""left"":239,""top"":56,""width"":27},{""height"":25,""label"":""Face"",""left"":301,""top"":62,""width"":28},{""height"":23,""label"":""Face"",""left"":343,""top"":74,""width"":25},{""height"":25,""label"":""Face"",""left"":387,""top"":82,""width"":13}]","[""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss122.png,"[{""height"":175,""label"":""Face"",""left"":201,""top"":38,""width"":144}]","[""Wearing Mask Correctly""]"
maksssksksss123.png,"[{""height"":118,""label"":""Face"",""left"":92,""top"":106,""width"":99},{""height"":100,""label"":""Face"",""left"":227,""top"":129,""width"":94}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss124.png,"[{""height"":58,""label"":""Face"",""left"":91,""top"":146,""width"":52},{""height"":56,""label"":""Face"",""left"":239,""top"":126,""width"":51},{""height"":25,""label"":""Face"",""left"":378,""top"":146,""width"":21},{""height"":26,""label"":""Face"",""left"":1,""top"":170,""width"":19},{""height"":37,""label"":""Face"",""left"":333,""top"":133,""width"":27}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss125.png,"[{""height"":128,""label"":""Face"",""left"":118,""top"":151,""width"":98}]","[""Not Wearing Mask""]"
maksssksksss126.png,"[{""height"":59,""label"":""Face"",""left"":106,""top"":45,""width"":52},{""height"":26,""label"":""Face"",""left"":194,""top"":62,""width"":21},{""height"":95,""label"":""Face"",""left"":226,""top"":2,""width"":41}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask""]"
maksssksksss127.png,"[{""height"":34,""label"":""Face"",""left"":98,""top"":46,""width"":32}]","[""Wearing Mask Correctly""]"
maksssksksss128.png,"[{""height"":112,""label"":""Face"",""left"":93,""top"":183,""width"":101}]","[""Not Wearing Mask""]"
maksssksksss129.png,"[{""height"":20,""label"":""Face"",""left"":106,""top"":69,""width"":18},{""height"":23,""label"":""Face"",""left"":149,""top"":30,""width"":19},{""height"":29,""label"":""Face"",""left"":246,""top"":40,""width"":25}]","[""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly""]"
maksssksksss13.png,"[{""height"":17,""label"":""Face"",""left"":28,""top"":54,""width"":16},{""height"":18,""label"":""Face"",""left"":98,""top"":62,""width"":16},{""height"":38,""label"":""Face"",""left"":162,""top"":51,""width"":32},{""height"":21,""label"":""Face"",""left"":293,""top"":60,""width"":20},{""height"":18,""label"":""Face"",""left"":352,""top"":53,""width"":21},{""height"":19,""label"":""Face"",""left"":229,""top"":53,""width"":12}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Incorrectly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss130.png,"[{""height"":43,""label"":""Face"",""left"":7,""top"":104,""width"":39},{""height"":54,""label"":""Face"",""left"":162,""top"":58,""width"":46},{""height"":46,""label"":""Face"",""left"":304,""top"":95,""width"":28},{""height"":41,""label"":""Face"",""left"":198,""top"":95,""width"":25}]","[""Wearing Mask Incorrectly"", ""Wearing Mask Incorrectly"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss131.png,"[{""height"":49,""label"":""Face"",""left"":65,""top"":63,""width"":45},{""height"":45,""label"":""Face"",""left"":127,""top"":31,""width"":39},{""height"":31,""label"":""Face"",""left"":257,""top"":55,""width"":27},{""height"":41,""label"":""Face"",""left"":284,""top"":66,""width"":37},{""height"":42,""label"":""Face"",""left"":252,""top"":125,""width"":43},{""height"":23,""label"":""Face"",""left"":345,""top"":93,""width"":18},{""height"":25,""label"":""Face"",""left"":236,""top"":74,""width"":20},{""height"":20,""label"":""Face"",""left"":216,""top"":63,""width"":21}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss132.png,"[{""height"":110,""label"":""Face"",""left"":106,""top"":72,""width"":84}]","[""Wearing Mask Incorrectly""]"
maksssksksss133.png,"[{""height"":139,""label"":""Face"",""left"":100,""top"":179,""width"":121}]","[""Wearing Mask Correctly""]"
maksssksksss134.png,"[{""height"":31,""label"":""Face"",""left"":92,""top"":19,""width"":25},{""height"":26,""label"":""Face"",""left"":156,""top"":22,""width"":21},{""height"":23,""label"":""Face"",""left"":179,""top"":24,""width"":18},{""height"":26,""label"":""Face"",""left"":183,""top"":74,""width"":22},{""height"":19,""label"":""Face"",""left"":269,""top"":70,""width"":16},{""height"":19,""label"":""Face"",""left"":343,""top"":15,""width"":16},{""height"":16,""label"":""Face"",""left"":302,""top"":43,""width"":16}]","[""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly""]"
maksssksksss135.png,"[{""height"":68,""label"":""Face"",""left"":49,""top"":157,""width"":95},{""height"":131,""label"":""Face"",""left"":151,""top"":67,""width"":119}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss136.png,"[{""height"":53,""label"":""Face"",""left"":100,""top"":105,""width"":52}]","[""Wearing Mask Correctly""]"
maksssksksss137.png,"[{""height"":18,""label"":""Face"",""left"":38,""top"":143,""width"":15},{""height"":18,""label"":""Face"",""left"":76,""top"":146,""width"":19},{""height"":21,""label"":""Face"",""left"":114,""top"":142,""width"":17},{""height"":20,""label"":""Face"",""left"":158,""top"":165,""width"":17},{""height"":21,""label"":""Face"",""left"":217,""top"":153,""width"":24},{""height"":23,""label"":""Face"",""left"":283,""top"":158,""width"":27}]","[""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask""]"
maksssksksss138.png,"[{""height"":95,""label"":""Face"",""left"":51,""top"":144,""width"":77},{""height"":64,""label"":""Face"",""left"":147,""top"":169,""width"":70},{""height"":94,""label"":""Face"",""left"":224,""top"":92,""width"":85}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss139.png,"[{""height"":18,""label"":""Face"",""left"":2,""top"":28,""width"":17},{""height"":23,""label"":""Face"",""left"":23,""top"":36,""width"":22},{""height"":21,""label"":""Face"",""left"":30,""top"":71,""width"":21},{""height"":32,""label"":""Face"",""left"":4,""top"":177,""width"":31},{""height"":19,""label"":""Face"",""left"":93,""top"":15,""width"":24},{""height"":26,""label"":""Face"",""left"":99,""top"":74,""width"":23},{""height"":30,""label"":""Face"",""left"":56,""top"":132,""width"":23},{""height"":31,""label"":""Face"",""left"":36,""top"":152,""width"":29},{""height"":30,""label"":""Face"",""left"":138,""top"":191,""width"":27},{""height"":23,""label"":""Face"",""left"":182,""top"":13,""width"":27},{""height"":25,""label"":""Face"",""left"":188,""top"":55,""width"":25},{""height"":22,""label"":""Face"",""left"":196,""top"":146,""width"":23},{""height"":29,""label"":""Face"",""left"":213,""top"":164,""width"":30},{""height"":22,""label"":""Face"",""left"":253,""top"":13,""width"":24},{""height"":25,""label"":""Face"",""left"":246,""top"":73,""width"":22},{""height"":28,""label"":""Face"",""left"":286,""top"":10,""width"":28},{""height"":14,""label"":""Face"",""left"":320,""top"":1,""width"":21},{""height"":23,""label"":""Face"",""left"":345,""top"":34,""width"":27},{""height"":25,""label"":""Face"",""left"":358,""top"":116,""width"":30}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Incorrectly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss14.png,"[{""height"":127,""label"":""Face"",""left"":152,""top"":192,""width"":87}]","[""Not Wearing Mask""]"
maksssksksss140.png,"[{""height"":173,""label"":""Face"",""left"":37,""top"":74,""width"":151},{""height"":141,""label"":""Face"",""left"":210,""top"":114,""width"":126}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss141.png,"[{""height"":59,""label"":""Face"",""left"":129,""top"":96,""width"":46},{""height"":46,""label"":""Face"",""left"":220,""top"":123,""width"":40}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss142.png,"[{""height"":125,""label"":""Face"",""left"":144,""top"":110,""width"":100}]","[""Wearing Mask Correctly""]"
maksssksksss143.png,"[{""height"":133,""label"":""Face"",""left"":102,""top"":200,""width"":92}]","[""Wearing Mask Correctly""]"
maksssksksss144.png,"[{""height"":28,""label"":""Face"",""left"":130,""top"":19,""width"":25},{""height"":23,""label"":""Face"",""left"":212,""top"":56,""width"":20},{""height"":20,""label"":""Face"",""left"":298,""top"":60,""width"":18}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss145.png,"[{""height"":22,""label"":""Face"",""left"":91,""top"":89,""width"":23},{""height"":20,""label"":""Face"",""left"":183,""top"":102,""width"":20},{""height"":23,""label"":""Face"",""left"":310,""top"":96,""width"":23}]","[""Wearing Mask Incorrectly"", ""Wearing Mask Incorrectly"", ""Not Wearing Mask""]"
maksssksksss146.png,"[{""height"":70,""label"":""Face"",""left"":119,""top"":122,""width"":65},{""height"":63,""label"":""Face"",""left"":265,""top"":90,""width"":59}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss147.png,"[{""height"":24,""label"":""Face"",""left"":103,""top"":9,""width"":17},{""height"":21,""label"":""Face"",""left"":198,""top"":15,""width"":20},{""height"":20,""label"":""Face"",""left"":224,""top"":89,""width"":19},{""height"":22,""label"":""Face"",""left"":272,""top"":33,""width"":22}]","[""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss148.png,"[{""height"":116,""label"":""Face"",""left"":1,""top"":20,""width"":80},{""height"":62,""label"":""Face"",""left"":68,""top"":95,""width"":56},{""height"":40,""label"":""Face"",""left"":116,""top"":104,""width"":24},{""height"":116,""label"":""Face"",""left"":151,""top"":89,""width"":96},{""height"":79,""label"":""Face"",""left"":325,""top"":77,""width"":72},{""height"":59,""label"":""Face"",""left"":243,""top"":120,""width"":40}]","[""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Not Wearing Mask"", ""Wearing Mask Correctly"", ""Not Wearing Mask"", ""Wearing Mask Correctly""]"
maksssksksss149.png,"[{""height"":32,""label"":""Face"",""left"":38,""top"":98,""width"":33},{""height"":33,""label"":""Face"",""left"":180,""top"":103,""width"":35},{""height"":32,""label"":""Face"",""left"":287,""top"":53,""width"":28},{""height"":32,""label"":""Face"",""left"":315,""top"":57,""width"":26},{""height"":29,""label"":""Face"",""left"":330,""top"":104,""width"":29},{""height"":30,""label"":""Face"",""left"":324,""top"":180,""width"":24}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss15.png,"[{""height"":69,""label"":""Face"",""left"":59,""top"":144,""width"":66},{""height"":36,""label"":""Face"",""left"":82,""top"":330,""width"":36}]","[""Wearing Mask Correctly"", ""Wearing Mask Correctly""]"
maksssksksss150.png,"[{""height"":124,""label"":""Face"",""left"":60,""top"":136,""width"":104}]","[""Wearing Mask Correctly""]"
